% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
24	1	0	1	0	0	19	0	1	1	0
39	1	0	1	0	0	85	0	1	1	0
55	1	0	1	0	28	2292	0	1	1	0
70	1	0	1	0	28	2292	0	1	1	0
80	1	0	1	0	28	2292	0	1	1	0
90	1	0	1	0	28	2292	0	1	1	0
100	1	0	1	0	28	2292	0	1	1	0
110	1	0	1	0	28	2292	0	1	1	0
120	1	0	1	0	28	2292	0	1	1	0
130	1	0	1	0	28	2292	0	1	1	0
140	1	0	1	0	28	2292	0	1	1	0
150	1	0	1	0	28	2292	0	1	1	0
160	1	0	1	0	28	2292	0	1	1	0
170	1	0	1	0	28	2292	0	1	1	0
180	1	0	1	0	28	2292	0	1	1	0
190	1	0	1	0	28	2292	0	1	1	0
200	1	0	1	0	28	2292	0	1	1	0
210	1	0	1	0	28	2292	0	1	1	0
212	1	0	1	0	28	2292	0	1	1	0
220	1	0	1	0	28	2292	0	1	1	0
230	1	0	1	0	28	2292	0	1	1	0
240	1	0	1	0	28	2292	0	1	1	0
250	1	0	1	0	28	2292	0	1	1	0
260	1	0	1	0	28	2292	0	1	1	0
270	1	0	1	0	28	2292	0	1	1	0
280	1	0	1	0	28	2292	0	1	1	0
290	1	0	1	0	28	2292	0	1	1	0
300	1	0	1	0	28	2292	0	1	1	0
319	2	1	1	0	0	85	0	1	1	0
320	2	1	1	0	0	85	0	1	1	0
321	2	1	1	0	0	85	0	1	1	0
322	2	1	1	0	0	85	0	1	1	0
323	2	1	1	0	0	85	0	1	1	0
324	2	1	1	0	0	85	0	1	1	0
325	2	1	1	0	0	85	0	1	1	0
326	2	1	1	0	0	85	0	1	1	0
327	2	1	1	0	28	2292	0	1	1	0
330	2	1	1	0	28	2292	0	1	1	0
333	2	1	1	0	28	2292	0	1	1	0
335	2	1	1	0	28	2292	0	1	1	0
350	2	1	1	0	28	2292	0	1	1	0
360	2	1	1	0	28	2292	0	1	1	0
370	2	1	1	0	28	2292	0	1	1	0
380	2	1	1	0	28	2292	0	1	1	0
390	2	1	1	0	28	2292	0	1	1	0
400	2	1	1	0	28	2292	0	1	1	0
410	2	1	1	0	28	2292	0	1	1	0
412	2	1	1	0	28	2292	0	1	1	0
420	2	1	1	0	28	2292	0	1	1	0
430	2	1	1	0	28	2292	0	1	1	0
440	2	1	1	0	28	2292	0	1	1	0
450	2	1	1	0	28	2292	0	1	1	0
460	2	1	1	0	28	2292	0	1	1	0
470	2	1	1	0	28	2292	0	1	1	0
480	2	1	1	0	28	2292	0	1	1	0
490	2	1	1	0	28	2292	0	1	1	0
500	2	1	1	0	28	2292	0	1	1	0
